start	end	text
0	20700	the cat he sleeps the cat he slept the cat he slept the cat he had changed a lot Camus
20700	29460	I had a lot of change Camus, these linguists are all Fada, these linguists are all Fada,
29460	37860	they are all Fada these linguists, they are all Fada these linguists, of course it is
37860	45180	pleasant to drink what the cafe you have heated, of course it is pleasant to drink what
45180	58660	cafe you have heated, I know her, I know her, I know her, I know her, I know her,
58660	69260	Paul, I often talk to him, Paul I often talk to him, Paul, I often talk to him, Paul,
69260	77980	I believe in France, I believe in France, I believe very strongly, we will succeed. The
77980	85180	neuronal translation is impressive, the neuronal translation is true, it is impressive.
85180	102700	Amsterdam, I went often. Amsterdam, I went often. I went often to Amsterdam. I went often to
102700	110580	Amsterdam. Me too, she speaks to me, she speaks to me too. Dancing, she will do it all her life,
110660	116980	she will be dancing all her life in seu c'est, she will dance all her life in seu c'est, she will be dancing all her life in seu c'est.
116980	124340	Free, I do not follow it even a little bit, free I do not follow it even a little bit,
124340	132780	released I do not follow it even a little bit, sublime he was, sublime he was,
133000	141700	he was, sublime he was, sublimes he was, sublimes comedian he will never
141700	148480	remain, comedian he will never remain, he was still a comedian, he was still a
148480	156420	comedian, he was still a comedian, I stayed there for a long time, I
157140	166520	stayed there for a long time, you know what he does, you know what he does, I
166520	174380	say I talk often about his success, I speak often about his success, I
174380	180260	speak of him in my classes, I speak often about him in my classes, classes
180460	187880	7th grade were disappeared, 7th grade were disappeared, this team, the amateurs often suffered
187880	194380	because of it, Paul, Pierre fought with this idiot,
194380	199900	Paul, Pierre fought with this idiot, Plastic Bertrand, I have all the records of this
199900	205140	farfellu, Plastic Bertrand, I have all the records of this farfellu, the eyes of statuettes in the
205180	210220	view of thousands, the eyes of statuettes we saw in the middle, we saw thousands of
210220	217420	eyes of statuettes, we saw thousands of views of statuettes, I wrote one letter, I wrote one
217420	225220	letter that I still find one to show, that I still find one to show, reading,
225220	233140	this is important, reading is important, speed is over, speed is over,
233980	240260	a child is precious and fragile, a child is precious and fragile, it moves a lot,
240260	247940	a child, it moves a lot, a child, it works hard, a medicine student, it works hard
247940	254660	a medicine student, it takes all its energy, this kind of work, it takes all its energy,
254660	255660	this kind of work,
263140	275520	books, I know well that she stole a lot of books, I know well that she stole a lot, I
275520	281560	gave her the book to Luc, I gave him the book to Luc, she knew well that she was
281560	286180	afraid of bringing the suitcase, she knew well that she was afraid of taking the suitcase,
286200	296220	Paul, this story Marie told him well, this story Marie told him well, this story
296220	308140	Paul told him well, this story Paul told him well, I know where Paul went,
308140	317980	I knew where Paul went, I know where Paul went, I know Paul where he went, I asked
317980	322660	these people who had the intention to sell them I asked these people
322660	327880	who had the intent to sell them, I asked them who these people were.
327880	331060	intended to sell them, I asked them who these people were.
331060	336100	he had the intent to sell them, I asked them these people where they
336100	339580	had found them. I asked these people where they had found them.
