start	end	text
0	19780	le chat il dort le chat il dort il dort le chat il dort le chat il avait beaucoup
19780	26320	changé camus il avait beaucoup changé camus c'est l'anguiste ils sont tous
26320	31920	pas là c'est l'anguiste ils sont tous pas là ils sont tous pas là c'est
31920	37760	l'anguiste ils sont tous pas là c'est l'anguiste bien sûr ça vous
37760	42640	a fait plaisir de le boire ce café aux lieux qu'elle vous a fait chauffer bien
42640	46320	sûr ça vous a fait plaisir de vous le boire ce café aux lieux que vous a faites
46320	59640	chauffer elle je la connais elle je la connais je la connais elle je la connais elle
59640	68520	Paul je lui parle souvent Paul je lui parle souvent je suis parle souvent Paul je
68520	75360	je suis parle souvent Paul la France j'y crois la France j'y crois très fort
75360	83160	va réussir la traduction neuronal est impressionnant la traduction neuronal
83160	95960	c'est vrai est impressionnant à Amsterdam j'y suis allé souvent à Amsterdam j'y suis allé
95960	104840	souvent je suis allé souvent a Amsterdam j'y suis allé souvent Amsterdam à moi
104840	111400	aussi elle me parle à moi aussi elle me parle danser elle le fera toute sa vie elle le
111400	117040	fera danser toute sa vie elle le fera toute sa vie danser elle le fera toute sa vie danser
117040	124640	libre je ne le speak a peu près je jamais libre je ne le suic A peu près jamais
125460	127540	librages je ne le suis A peu près jamais
127540	135840	sublime il l'ettait sublime il l'est baiteh il l'était sublime il l'était sublime il
135840	143380	l'était sublime il l'était sublime commecdien il le restera toujours commecdien
143380	149140	il le restera toujours il le tert encore commescdien il le était encore commescdien
149140	157300	il l'était encore commemédien j'y suis resté longtemps là bas j'y suis resté longtemps
157300	163940	là bas là dedans savez-vous ce qu'il y fait là dedans savez-vous ce qu'il
163940	171540	y fait je lis je parle souvent de sa réussite je lis je parle souvent de sa réussite je lis
171540	176100	je parle souvent de sa réussite j'aime ce qui je parle souvent de lui dans mes cours
176100	183100	place c'est sur 7 on disparu, classe c'est sur 7 on disparu cette équipe les amateurs
183100	188100	ont souvent souffert à cause d'elle cette équipe les amateurs ont souvent souffert à cause
188100	194100	d'elle Paul pierre ses battus avec cet idiot Paul pierre ses battus avec cet idiot
194100	197100	plastique Bertrand j'ai tous les disques de ce farfel
197100	200100	plastique Bertrand j'ai tous les disques de ce farfel
200820	206820	les yeux de statu on a vu par milliers mais les yeux de statu on avait vu par milliers
206820	207660	on a vu par millién upon immédiat rurale
208660	214180	on avait par milliers des yeux de statue on avait par milliers des vagues de statue
214180	217740	j'en ai écrit une l'être j'en ai écrit une de l'être
218860	220600	que j'en trouvent encore une de montre.
221640	224300	que j'en trouvent encore une de montres
224300	228640	l'altitude ça c'est important l'altitude ça c'est important
229220	230680	DavidISS c'est dépassé
230680	233000	la vitesse c'est dépassé
233860	236700	un enfant, c'est précieux et fragile
236700	238720	un enfant c'est précieux et fragil
239480	241580	ça bouge beaucoup un enfant
242100	243300	ça bouge beaucoup un enfant
244900	246880	un collaboré fort anne étudiant médecine
247380	249040	un permette fort anne étudiant médecine
250040	252960	ça prend toute son énergie ce genre de travail
252960	255660	ça prend toute son énergie ce genre de travail
259280	262040	un ami
265080	266580	dans le sens Onion
268080	269920	les livres
269920	272320	je sais bien qu'elles l'ont appelé beaucoup
272320	274160	les livres
274160	275400	je sais bien qu'elles l'ont appelé beaucoup
275400	277800	je lui vais donner le livre à luc
277800	280840	je lui ai donné le livre à luc
280840	281820	ma Money
281820	283060	sliced
283060	287700	lui a porté l'Aval reasonably
287720	290540	à pole, cet histoire, Marie le lui a bien raconté
290540	294380	à pole, cet histoire, Marie le lui a bien raconté
295180	298100	cet histoire, à pole, Marie
298100	300620	lui a bien raconté
300620	304380	cet histoire, à pole, Marie le lui a bien raconté
304380	308300	je sais où pole est, allez
308300	310880	je sais où pole est, allez
310880	314360	je sais pole où est, allez
314360	316280	je sais pole où il est, allez
317180	319420	je lui demandais, ces pommes là
319420	321100	a qui l'avait l'intention de l'évande
321100	322920	je lui ai demandé ces pommes là
322920	324280	à qui l'avait l'intention de l'évande
324480	326440	je lui est demandé à qui
326440	327620	ces pommes là
327620	330260	il avait l'intention de l'évendre
330260	331880	je lui ai demandé à qui ces pommes-là
331880	333960	il avait l'intention de l'évande
333960	335200	je lui ai demandé
335200	337380	ces pommes là où les a judgment
337380	338120	je lui ai demandé
338120	340020	ces pommes là où les aestructions
