start	end	text
0	20280	The dog, he sleeps, the dog sleeps, he sleeps the dog, he sleeps the dog, he had a lot of change
20280	26340	in the truck, he had a lot of change in the truck, it's an English, they are all
26660	29780	learn it from each other.
29780	30480	They learn it from each other.
30480	34020	That's all the time.
34020	36740	Everything is a mystery.
36740	38140	That's it for sure.
38140	42180	They have made you happy to drink what you paid for.
42180	46640	Of course, that will make you happy to drink what you bought for.
46640	51400	She, I know her.
51400	55640	She knows her.
55640	58280	I know her.
58280	60400	I know her.
60400	63440	Paul, I often speak to him.
63440	65600	Paul, I often speak to him.
65600	68440	I often speak to him.
68440	71040	I often speak to him.
71040	73680	France, I believe.
73680	76600	France, I believe very strong, will succeed.
77600	81200	The neuronal translation is impressive.
81200	84200	The neuronal translation is true.
84200	86400	It's impressive.
86400	90400	Amsterdam, I often go to them.
94800	97800	Amsterdam, I often go to them.
97800	101680	I often go to them.
101680	104280	I often go to them.
104480	108680	Me too, she speaks to me.
108680	111080	In them, she will do all her life.
111080	113480	She will dance all her life.
113480	115680	She will do all her life.
115680	118680	She will do all her life.
118680	122480	I will never be able to sleep.
122480	126080	I will never be able to sleep.
126080	128680	I will never be able to sleep.
128680	131880	Sublime, it was.
131880	133680	Sublime, it was.
133680	138080	Sublime, it was.
138080	140280	Sublime, it was.
140280	145280	As a means, she will always stay.
145280	147680	She was still as a means.
147680	150680	She was still as a means.
150680	153280	She was still as a means.
153280	156280	I stayed for a long time, there.
156280	160080	I stayed for a long time, there.
160080	162880	In her, she knew what she did.
163280	164880	In her, she knew what she did.
164880	168080	She is like me, I always talk about Herholy.
168080	176840	I speaky face d'ess dislikes when she is sitting.
176840	179480	I am a spoon, often because of her.
179480	181980	I speaky face d'ess Watching her,
181980	182080	watching her.
183080	185280	This is watching sister of my animals.
185280	187480	This is watching sister of my animals.
187480	189080	This is watching sister of my animals.
189080	191680	Watchd her, this is watching sister of my animals.
191960	194540	Paul fell his shoes with this d'oeuf.
194540	197280	Paul fell his shoes with this d'oeuf.
197280	200680	I have all the sights of this fafule.
200680	203280	The sights of this fafule.
203280	205980	The statue eyes we saw by his拚.
205980	208180	The eyes of the statue we saw by him.
208180	211580	We saw by his拚, eyes of the statue.
211580	213980	We saw by his拚, eyes of the statue.
213980	215680	I have written one letter.
215680	218080	I have written one letter.
218080	221080	That I still find one more to show.
221880	224580	I have written one more to show.
224580	227080	The reading is important.
227080	229080	The reading is important.
229080	232080	Evidence is passed.
232080	234080	Evidence is passed.
234080	237080	A child is precious and fragile.
237080	239580	A child is precious and fragile.
239580	242080	It moves a lot, a child.
242080	244580	It moves a lot, a child.
244580	247580	A work force, a medicine study.
247580	250080	A work force, a medicine study.
250080	253080	It takes all its energy, this kind of work.
253080	256080	It takes all its energy, this kind of work.
268080	272080	The books I know well that they stole a lot.
272080	275080	The books I know well that they stole a lot.
275080	278080	I gave him the book.
278080	281080	I gave him the book.
281080	284080	It was good that he was able to wear a veil.
284080	287080	It was hard to wear a veil.
287080	291080	Apple, this story Marie told him well.
291080	294080	Apple, this story Marie told him well.
294080	299080	This story Marie told him well.
299080	304080	This story Marie told him well.
305080	309080	I know Paul is come.
309080	311080	I know Paul is coming.
311080	314080	I know he's coming.
314080	316080	I don't know he's coming.
316080	321080	I asked these people to know the idea of the sale.
321080	324080	I asked him these folks to know the idea of the sale.
324080	326080	Who did they request this woman?
326080	327080	This is not him.
327080	329080	He asked晗 Child.
329080	333080	He asked these folks to know the idea of the sale.
334080	337080	I asked him these folks to know the idea of the sale.
337080	340080	I asked him these folks to know the idea of the sale.
