start	end	text
0	11000	The cat is sleeping.
11000	14000	The cat is sleeping.
14000	16000	The cat is sleeping.
16000	18000	The cat is sleeping.
18000	21000	He had changed a lot, Camus.
21000	24000	He had changed a lot, Camus.
24000	27000	These linguists, they are all fadas.
28000	31000	These linguists, they are all fadas.
31000	34000	They are all fadas, these linguists.
34000	37000	They are all fadas, these linguists.
37000	39000	Of course it made you happy to drink it,
39000	42000	the coffee you warmed up.
42000	45000	Of course it made you happy to drink it,
45000	48000	the coffee you warmed up.
48000	51000	I know her.
51000	54000	I know her.
55000	58000	I know her.
58000	60000	I know her.
60000	63000	Paul, I talk to him often.
63000	65000	Paul, I talk to him often.
65000	68000	I talk to him often, Paul.
68000	70000	I talk to him often, Paul.
70000	73000	France, I believe in it.
73000	77000	France, I believe in it very much, will succeed.
77000	81000	The neuronal translation is impressive.
81000	86000	The neuronal translation, it's true, is impressive.
86000	89000	In Amsterdam, I went there often.
94000	97000	In Amsterdam, I went there often.
97000	100000	I went to Amsterdam often.
101000	104000	I went to Amsterdam often.
104000	106000	She talks to me too.
106000	108000	She talks to me too.
108000	111000	She'll dance all of her life.
111000	114000	She'll dance all of her life.
114000	117000	She'll dance all of her life.
117000	119020	She'll dance all of her life.
119020	122000	Free, I am almost never.
122000	125000	Free, I am almost never.
125000	128000	Free, I am almost never.
128000	131000	Sublime, he was sublime.
131000	133000	Sublime, he was sublime.
133000	135000	It was sublime.
135000	137000	It was sublime.
137000	140000	Sublime, he was sublime.
140000	143000	Actor, he will always be.
143000	145000	Actor, he will always be.
145000	148000	He was still an actor.
148000	150000	He was still an actor.
150000	153000	He was still an actor.
153000	156000	I stayed there for a long time.
156000	160000	I stayed there for a long time.
160000	163000	In there, do you know what he's doing?
163000	165000	In there, do you know what he's doing?
165000	171000	Julie, I often talk about his success.
171000	173000	Julie, I often talk about his success.
173000	179000	Chomsky, I often talk about him in my lessons.
179000	182000	Classic, his socks went missing.
182000	185000	Classic, his socks went missing.
185000	189000	This team, amateurs have often suffered because of it.
189000	192000	This team, amateurs have often suffered because of it.
192000	197000	Paul, Pierre fought with this idiot.
197000	204000	Plastique Bertrand, I have all the records of this madman.
204000	209000	We saw thousands of statues' eyes.
209000	214000	We saw thousands of statues' eyes.
214000	219000	I wrote one of the letters.
219000	224000	I still find one of them as a watch.
224000	229000	Reading, that's important.
229000	234000	Speed, that's over the top.
234000	239000	A child is precious and fragile.
239000	244000	It moves a child a lot.
244000	249000	It's a lot of work, studying medicine.
249000	253000	It takes all your energy, this kind of work.
253000	256000	It takes all your energy, this kind of work.
268000	271000	Books, Jean, I know she stole a lot of them.
272000	275000	Books, Jean, I know she stole a lot of them.
275000	278000	I gave the book to Luc.
278000	281000	I gave the book to Luc.
281000	284000	He knew she was carrying the suitcase.
284000	287000	He knew she was carrying the suitcase.
287000	290000	Paul, Marie told him this story well.
290000	293000	Paul, Marie told him this story well.
293000	296000	Paul, Marie told him this story well.
297000	301000	Paul, Marie told him this story well.
306000	309000	I know where Paul went.
309000	312000	I know where Paul went.
312000	317000	I know where Paul went.
317000	321000	I asked him who he meant to sell these apples to.
321000	324000	I asked him who he meant to sell these apples to.
324000	329000	I asked him who he meant to sell these apples to.
329000	333000	I asked him who he meant to sell these apples to.
333000	337000	I asked him where he found these apples.
337000	340500	I asked him where he found these apples.
